id,en
p673641,I am good.
p453733,You are good.
p752797,He is good.
p931381,She is good.
p416257,It  is good.
p286710,We are good.
p549808,They are good.
p412327,He is Akira.
p381734,He is from Osaka.
p172031,It is a cat.
p865884,You are happy.
p168438,They are mine.
p924058,I like you.
p253197,I like him.
p665407,I like her.
p788605,I like it.
p769839,I like them.
p968011,Please look at me.
p423074,Please look at us.
p601348,Look at me.
p767951,I know you.
p908263,I know him.
p595215,I know her.
p381463,I need it.
p180241,I know them.
p291013,Please help us.
p357085,I don't know him.
p115636,I don't know her.
p640853,I don't know them.
p985072,It is my bag
p770762,It is your bag
p790797,It is his bag
p818026,It is her bag
p997368,It is our bag
p715281,It is their bag.
p619935,This is my house.
p630849,My pen is blue.
p153126,Your car is fast.
p495476,Your book is on the table.
p552082,His hat is black.
p463210,His name is Taro.
p979317,Her eyes are blue.
p188031,Its color is red.
p725100,Our school is big.
p131587,Their dog is cute.
p154148,This is my car.
p145246,That is my car.
p657759,That isn't my bag.
p458517,Is this your pen or mine?
p696395,What is this thing for?
p611054,That is Taro's dog.
p195627,That is my school.
p973107,That is the library.
p277543,This is my book.
p880156,This is a good book.
p689796,That is not my bag.
p266794,Is this your pen?
p470453,That is a my school.
p608912,This is my new car.
p569386,These are my books.
p796618,These are apples from my garden.
p216797,These are our new laptops.
p885792,Those are her dogs.
p391412,Those are his cars.
p457985,Those are tall buildings.
p301085,Those are old houses.
p191470,Are these your pens?
p336950,What are these?
p889175,Those aren't my bags
p285644,These are apples.
p269041,These are new cars.
p105764,Those are not my bags.
p830387,I am good.
p221775,I am happy.
p623232,I am super.
p212142,I am okay.
p741919,I am tired.
p629599,I am hungry.
p828897,I am sleepy.
p122069,I am from Nara.
p147841,I am a student.
p542930,I am 12 years old.
p762812,I am from Japan.
p482035,I am not sure.
p866225,I am not busy.
p201782,I am not tired.
p707942,I am not hungry.
p128684,I am not sleepy.
p597340,I am not okay.
p400819,I am not good.
p241164,I am not happy.
p291661,I am not a student.
p576859,I am not worried.
p770256,I am not interested.
p888074,Am I correct?
p333518,Am I right?
p201987,Am I wrong?
p881577,Am I next?
p106764,Am I clear?
p279895,Am I late?
p452540,Am I early?
p910330,Am I loud?
p897956,Am I done?
p267509,Am I ready?
p561627,Am I in the way?
p559218,You are right.
p743230,You are funny.
p787486,You are cool.
p210257,You are the best.
p732478,You are kind.
p623726,You are next.
p852488,You are busy.
p319438,You are a teacher.
p497606,You are lucky.
p254597,You are my best friend.
p751686,You are my friend.
p695797,You are not wrong.
p300252,You are not alone.
p970506,You are not ready.
p188617,You are not my boss.
p762546,You are not serious.
p830961,You are not busy.
p576530,You are not happy.
p499665,You are not a robot.
p652196,You are not fair.
p365755,You are not polite.
p601969,Are you busy?
p978597,Are you hungry?
p111415,Are you sleepy?
p929759,Are you a tourist?
p977292,Are you cold?
p569080,Are you sure?
p645492,Are you ready?
p534785,Are you okay?
p508105,Are you serious?
p457126,Are you in line?
p280055,Are you OK?
p555154,He is a doctor.
p831812,He is a teacher.
p360288,He is my friend.
p140357,He is happy.
p695897,He is busy.
p173392,He is tall.
p535636,He is cool.
p380040,He is a good student.
p173127,He is from America.
p782894,He is tired.
p382611,He is funny.
p727904,He is not a student.
p415863,He is not at home.
p440001,He isn't very kind.
p606729,He is not alone.
p474556,He isn't ready yet.
p948106,He is not okay.
p667625,He isn't my friend.
p670838,He is not wrong.
p886058,He isn't hungry.
p755199,He isn't serious.
p940912,He is not a teacher.
p287591,Is he busy?
p816837,Is he a student?
p649380,Is he tired?
p893614,Is he free?
p566452,Is he your teacher?
p671097,Is he cool?
p230302,Is he hungry?
p515113,Is he famous?
p440456,Is he from America?
p837555,Is he serious?
p889666,Is he a teacher?
p929382,She is a student.
p193600,She is a teacher.
p382263,She is a doctor.
p546936,She is my friend.
p542790,She is happy.
p773914,She is busy.
p804060,She is tired.
p100069,She is kind.
p745110,She is tall.
p349952,She is from Japan.
p282855,She is a nurse.
p999544,She is cool.
p227981,She is not my sister.
p352440,She is not from Osaka.
p983317,She is not a student.
p222461,She is not busy.
p553845,She is not my teacher.
p675886,She is not very kind.
p531090,She is not from Canada.
p271701,She is not hungry.
p840359,She is not my friend.
p455581,She is not tired.
p507753,She is not a doctor.
p208117,She is not free.
p373571,Is she your older sister?
p637960,Is she a teacher?
p662996,Is she busy?
p777621,Is she a student?
p457038,Is she kind?
p890937,Is she your friend?
p159042,Is she from Canada?
p980675,Is she American?
p908235,Is she happy?
p103280,Is she a doctor?
p300737,Is she okay?
p608954,Is she your sister?
p183206,We are a team.
p135723,We are good friends.
p132443,We are ready.
p656761,We are excited.
p131197,We are Japanese students.
p631573,We are classmates.
p539535,We are family.
p245308,We are partners.
p270417,We are happy.
p745297,We are busy.
p793812,We are students.
p446461,We are brothers.
p153402,We are in the same class.
p521474,We are studying English.
p986108,We are not late.
p987016,We are not alone.
p322201,We are not perfect.
p543540,We are not afraid.
p304244,We are not in a hurry.
